"","cells","Class","n","longitude","latitude"
"1","11573","Consolidated",3,115.17477412,-33.41075104
"2","11574","Consolidated",2,115.1753209,-33.41070904
"3","12383","Unconsolidated",20,115.3617826,-33.419146855
"4","12384","Unconsolidated",20,115.363731909091,-33.4193286090909
"5","12385","Unconsolidated",10,115.36706452,-33.41977108
"6","12386","Unconsolidated",5,115.36786484,-33.41989744
"7","12628","Unconsolidated",24,115.361360111538,-33.4211758961538
"8","12629","Unconsolidated",25,115.363970607692,-33.4211908653846
"9","12630","Unconsolidated",25,115.366602992,-33.421215632
"10","12631","Unconsolidated",27,115.369149421429,-33.4205686535714
"11","12874","Unconsolidated",17,115.364187641176,-33.4228884176471
"12","12875","Unconsolidated",21,115.366041866667,-33.4231165428571
"13","13304","Macroalgae",4,115.215052,-33.4293634545455
"14","13305","Consolidated",16,115.216223567568,-33.42851
"15","13306","Consolidated",3,115.217726875,-33.429201875
"16","13549","Unconsolidated",7,115.214915125,-33.430283875
"17","13550","Unconsolidated",24,115.2171123125,-33.431357
"18","13551","Unconsolidated",19,115.219773576923,-33.4312416538462
"19","13552","Unconsolidated",32,115.221702216216,-33.4310116216216
"20","13796","Unconsolidated",20,115.218722045455,-33.4328023181818
"21","13797","Unconsolidated",9,115.22166775,-33.4326275
"22","15215","Unconsolidated",22,115.092040568182,-33.4495004090909
"23","15216","Unconsolidated",3,115.092901033333,-33.4499056
"24","15460","Unconsolidated",13,115.092248430769,-33.4502679923077
"25","15461","Unconsolidated",12,115.093139092308,-33.4501490538462
"26","21960","Other",3,115.416537533333,-33.5173392666667
"27","22204","Seagrasses",13,115.414759585714,-33.5189647571429
"28","22205","Macroalgae",28,115.41600575,-33.5186193211538
"29","22449","Unconsolidated",8,115.41464874,-33.52050492
"30","22450","Seagrasses",8,115.415639164706,-33.5204987176471
"31","25130","Seagrasses",2,115.37785945,-33.5498046
"32","25373","Seagrasses",12,115.374474057143,-33.5519925357143
"33","25374","Seagrasses",59,115.376196093056,-33.5511577694444
"34","25375","Seagrasses",16,115.378190329167,-33.5509288291667
"35","25618","Seagrasses",7,115.37469657,-33.55269395
"36","25619","Seagrasses",3,115.37541672,-33.55252096
"37","27260","Unconsolidated",12,115.192099558333,-33.57196115
"38","27261","Seagrasses",8,115.193834147368,-33.5721327157895
"39","27262","Seagrasses",6,115.195690644444,-33.5722887333333
"40","27505","Unconsolidated",9,115.192034971429,-33.5730364642857
"41","27506","Seagrasses",29,115.193900301613,-33.5733187064516
"42","27507","Seagrasses",9,115.195804564286,-33.5730257142857
"43","28009","Unconsolidated",52,115.226818723214,-33.5787611839286
"44","28010","Unconsolidated",9,115.227980833333,-33.5796239555556
"45","28254","Unconsolidated",55,115.226268606667,-33.58102576
"46","28255","Unconsolidated",10,115.227882918182,-33.5804926
"47","29228","Seagrasses",13,115.211583083333,-33.5919671583333
"48","29229","Seagrasses",26,115.213671890909,-33.5920772363636
"49","29472","Seagrasses",14,115.209578807692,-33.5931079653846
"50","29473","Seagrasses",36,115.211393448,-33.5930117853333
"51","29474","Seagrasses",15,115.2133303175,-33.59314423
"52","29487","Seagrasses",3,115.2473894,-33.5945167
"53","29488","Macroalgae",10,115.248861577273,-33.5945192772727
"54","29489","Macroalgae",11,115.251368195238,-33.594529252381
"55","29490","Seagrasses",8,115.253853328571,-33.5945770761905
"56","29491","Seagrasses",13,115.256322019048,-33.5946237190476
"57","29492","Seagrasses",18,115.258836531818,-33.5946916409091
"58","29493","Seagrasses",17,115.261359285714,-33.5946835047619
"59","5668","Unconsolidated",26,115.111636833333,-33.3506184361111
"60","6696","Unconsolidated",16,115.232505370588,-33.3615956588235
"61","6697","Unconsolidated",18,115.233889804545,-33.3610421272727
"62","6698","Unconsolidated",14,115.235455893333,-33.3617047266667
"63","6699","Unconsolidated",23,115.238816088889,-33.3616086222222
"64","6700","Unconsolidated",15,115.24103859,-33.36174075
"65","6941","Unconsolidated",12,115.232582841667,-33.36301745
"66","6942","Unconsolidated",9,115.232649611111,-33.3640434555556
"67","6943","Unconsolidated",37,115.23570201,-33.36412824
"68","6944","Unconsolidated",24,115.238348368,-33.363674104
"69","6945","Unconsolidated",1,115.2413266,-33.3625332
"70","7188","Consolidated",2,115.2373603,-33.364952475
"71","7189","Unconsolidated",5,115.2380655375,-33.3649866875
"72","7971","Unconsolidated",22,115.3563056375,-33.3743407083333
"73","7972","Unconsolidated",22,115.358763895652,-33.3742102
"74","7973","Unconsolidated",13,115.36211805,-33.3742070388889
"75","7974","Unconsolidated",19,115.363909152381,-33.3737650047619
"76","7975","Unconsolidated",13,115.3655670875,-33.3741781625
"77","8216","Unconsolidated",21,115.3560507,-33.3761761259259
"78","8217","Unconsolidated",20,115.359281988,-33.376170456
"79","8218","Unconsolidated",24,115.362257585185,-33.3763279518518
"80","8219","Unconsolidated",9,115.362729709091,-33.3769711727273
"81","8220","Unconsolidated",4,115.365677575,-33.37516405
"82","8461","Unconsolidated",3,115.356412133333,-33.3775848333333
"83","8462","Unconsolidated",10,115.35952358,-33.3776022
"84","8463","Unconsolidated",9,115.360749136364,-33.3774903818182
